checkout_id,patron_id,book_id,checkout_date,return_date,fine_amount
1,5,1,2024-02-12,2024-02-28,2
2,20,7,2024-03-23,2024-04-05,0
3,13,6,2024-05-02,2024-05-27,0
4,6,2,2024-02-24,2024-03-25,0
5,10,13,2024-01-17,2024-01-24,0
6,20,9,2024-03-02,2024-03-26,0
7,20,11,2024-05-29,2024-06-12,0
8,2,8,2024-05-26,2024-05-29,4
9,19,8,2024-02-03,2024-02-17,1.5
10,10,12,2024-05-31,2024-06-27,0
11,17,14,2024-01-26,2024-02-21,3
12,2,1,2024-06-12,2024-07-11,0
13,13,10,2024-01-24,2024-02-06,3.5
14,19,8,2024-06-19,2024-06-24,3.5
15,6,6,2024-06-18,2024-07-05,0
16,1,2,2024-05-04,2024-05-19,0
17,10,2,2024-06-28,2024-07-28,3
18,3,2,2024-02-11,2024-02-27,0
19,1,14,2024-06-11,2024-07-03,1
20,2,13,2024-02-02,2024-02-08,1.5
21,11,9,2024-01-22,2024-02-18,0
22,7,3,2024-05-10,2024-05-24,0
23,17,12,2024-01-20,2024-01-31,0
24,4,9,2024-02-23,2024-03-10,3.5
25,18,9,2024-02-22,2024-03-14,0
26,8,13,2024-05-08,2024-05-23,3
27,8,9,2024-04-19,2024-05-17,0
28,16,5,2024-02-01,2024-02-04,0
29,1,14,2024-01-19,2024-02-09,0
30,16,15,2024-03-02,2024-03-10,5
31,3,13,2024-02-22,2024-03-04,0
32,19,9,2024-02-13,2024-02-28,0
33,15,12,2024-05-09,2024-05-17,0
34,18,4,2024-01-28,2024-02-21,0
35,11,14,2024-04-12,2024-04-28,0
36,4,8,2024-02-26,2024-03-23,3
37,8,7,2024-03-24,2024-04-01,0
38,20,12,2024-06-06,2024-06-15,3.5
39,11,14,2024-02-03,2024-02-26,0
40,12,7,2024-06-15,2024-07-02,4
41,8,10,2024-04-28,2024-05-24,0
42,19,2,2024-04-12,2024-05-09,0
43,2,6,2024-02-03,2024-02-19,0
44,11,11,2024-03-12,2024-03-18,0
45,8,8,2024-03-26,2024-04-07,0
46,20,8,2024-06-09,2024-06-12,0
47,8,2,2024-01-04,2024-01-16,0
48,10,12,2024-05-16,2024-05-23,0
49,18,14,2024-02-28,2024-03-10,0
50,14,7,2024-04-07,2024-04-12,1
51,9,12,2024-02-22,2024-03-11,0
52,11,4,2024-02-22,2024-03-17,3
53,9,2,2024-01-14,2024-01-31,0
54,19,14,2024-04-29,2024-05-23,4
55,11,3,2024-02-27,2024-03-02,0
56,19,8,2024-06-27,2024-07-23,0
57,20,2,2024-04-27,2024-05-15,0
58,16,3,2024-03-22,2024-03-27,0
59,20,11,2024-02-15,2024-02-29,0
60,20,2,2024-03-01,2024-03-13,0
