customer_id,month_id,amount_billed,amount_paid
1,2,3996,3996
1,3,3996,3197
1,4,3996,3996
1,5,3996,3996
2,1,5681,5681
2,2,5681,5681
2,3,5681,4545
2,4,5681,5681
3,1,8394,8394
3,2,8394,8394
3,3,8394,8394
3,4,8394,8394
3,5,8394,8394
3,6,8394,8394
4,1,36673,33739
4,2,36673,36673
4,3,36673,26405
4,4,36673,36673
4,5,36673,36673
4,6,36673,31172
5,1,14085,14085
5,2,14085,12254
5,3,14085,14085
5,4,14085,14085
5,5,14085,14085
5,6,14085,14085
6,2,9996,9996
6,3,9996,9996
6,4,9996,9996
6,5,9996,8297
6,6,9996,9996
7,1,2691,2691
7,2,2691,2691
7,3,2691,2691
7,4,2691,2207
8,2,15378,15378
8,3,15378,15378
8,4,15378,15378
8,5,15378,15378
8,6,15378,15378
9,1,3996,3197
9,2,3996,3996
9,3,3996,3996
9,4,3996,3996
9,5,3996,3996
9,6,3996,3996
10,2,23490,23490
10,3,23490,16678
10,4,23490,23490
10,5,23490,23490
10,6,23490,23490
11,1,35976,35976
11,2,35976,35976
11,3,35976,35976
11,4,35976,35976
11,5,35976,35976
11,6,35976,35976
12,2,7380,7380
12,3,7380,7011
12,4,7380,7380
12,5,7380,7380
12,6,7380,7380
