invoice_id,subscription_id,month_id,amount_billed,amount_paid
1,1,1,18981,18981
2,1,2,18981,18981
3,1,3,18981,18981
4,2,1,7497,7497
5,2,2,7497,7497
6,2,3,7497,7497
7,2,4,7497,7497
8,2,5,7497,6223
9,2,6,7497,7497
10,3,3,6993,6993
11,3,4,6993,6993
12,3,5,6993,6993
13,3,6,6993,6993
14,4,1,34986,34986
15,4,2,34986,34986
16,5,2,3996,3996
17,5,3,3996,3996
18,5,4,3996,3996
19,5,5,3996,3996
20,5,6,3996,3996
21,6,2,5382,5382
22,6,3,5382,5382
23,6,4,5382,5382
24,6,5,5382,5382
25,6,6,5382,5382
26,7,3,1196,1124
27,7,4,1196,1196
28,7,5,1196,1196
29,8,2,2499,2499
30,8,3,2499,2499
31,8,4,2499,2499
32,8,5,2499,2499
33,8,6,2499,2499
34,9,3,18981,15754
35,9,4,18981,13477
36,9,5,18981,18981
37,9,6,18981,18981
38,10,1,12987,12987
39,10,2,12987,12987
40,10,3,12987,10779
41,10,4,12987,12987
42,10,5,12987,12987
43,10,6,12987,12987
44,11,1,32487,32487
45,11,2,32487,32487
46,11,3,32487,32487
47,11,4,32487,32487
48,11,5,32487,32487
49,11,6,32487,30863
50,12,2,1495,1495
51,12,3,1495,1495
52,13,2,891,891
53,13,3,891,891
54,13,4,891,891
55,13,5,891,891
56,13,6,891,891
57,14,3,2392,2392
58,14,4,2392,2392
59,14,5,2392,2392
60,14,6,2392,2392
61,15,1,17493,17493
62,15,2,17493,17493
63,16,3,4186,4186
64,16,4,4186,4186
65,17,2,11988,11988
66,17,3,11988,11988
67,17,4,11988,11988
68,17,5,11988,11988
69,17,6,11988,11988
70,18,3,19992,19992
71,18,4,19992,19992
72,18,5,19992,19992
73,18,6,19992,15594
