event_id,subscription_id,month_id,category_id,quantity
1,1,1,4,407
2,1,1,3,833
3,1,2,1,317
4,1,2,3,187
5,1,2,2,472
6,1,2,4,884
7,1,3,2,658
8,1,3,3,391
9,1,3,5,712
10,2,1,1,512
11,2,1,2,551
12,2,1,4,922
13,2,2,4,330
14,2,2,1,42
15,2,2,2,26
16,2,3,1,660
17,2,3,3,776
18,2,3,5,348
19,2,3,2,245
20,2,4,1,860
21,2,4,2,314
22,2,4,4,937
23,2,4,3,245
24,2,5,3,742
25,2,5,4,718
26,2,5,1,366
27,2,6,2,160
28,2,6,4,529
29,2,6,3,892
30,2,6,5,199
31,3,3,2,849
32,3,3,3,376
33,3,3,1,634
34,3,4,4,869
35,3,4,2,218
36,3,4,3,899
37,3,4,1,732
38,3,5,3,469
39,3,5,5,531
40,3,5,1,729
41,3,6,4,661
42,3,6,5,613
43,3,6,1,573
44,4,1,4,91
45,4,1,2,191
46,4,1,3,559
47,4,1,1,646
48,4,2,3,479
49,4,2,2,779
50,4,2,5,524
51,5,2,1,436
52,5,2,2,132
53,5,2,5,474
54,5,2,4,759
55,5,3,3,860
56,5,3,5,331
57,5,4,5,695
58,5,4,3,542
59,5,5,1,163
60,5,5,3,745
61,5,6,3,902
62,5,6,2,295
63,6,2,1,550
64,6,2,3,89
65,6,2,4,944
66,6,2,5,664
67,6,3,1,751
68,6,3,3,203
69,6,3,2,47
70,6,3,5,537
71,6,4,5,549
72,6,4,1,654
73,6,4,3,785
74,6,4,4,181
75,6,5,1,619
76,6,5,5,691
77,6,5,2,420
78,6,6,5,121
79,6,6,2,357
80,6,6,4,807
81,7,3,4,701
82,7,3,2,591
83,7,3,1,483
84,7,3,3,956
85,7,4,3,249
86,7,4,1,121
87,7,5,4,672
88,7,5,5,575
89,7,5,3,431
90,8,2,4,641
91,8,2,3,752
92,8,2,2,744
93,8,2,1,97
94,8,3,1,915
95,8,3,5,789
96,8,3,4,267
97,8,3,2,800
98,8,4,5,681
99,8,4,1,213
100,8,4,3,264
101,8,5,3,300
102,8,5,5,490
103,8,5,1,663
104,8,5,2,149
105,8,6,1,687
106,8,6,4,141
107,9,3,3,775
108,9,3,1,263
109,9,3,2,382
110,9,3,5,407
111,9,4,1,810
112,9,4,5,628
113,9,5,5,721
114,9,5,4,245
115,9,6,4,555
116,9,6,3,505
117,10,1,5,403
118,10,1,4,704
119,10,1,2,721
120,10,1,1,923
121,10,2,1,593
122,10,2,2,789
123,10,2,3,272
124,10,2,5,338
125,10,3,4,229
126,10,3,5,219
127,10,3,3,86
128,10,4,1,828
129,10,4,2,234
130,10,4,3,261
131,10,5,5,499
132,10,5,4,477
133,10,5,3,266
134,10,6,5,903
135,10,6,2,941
136,10,6,4,486
137,11,1,5,639
138,11,1,4,108
139,11,1,2,779
140,11,1,1,227
141,11,2,3,677
142,11,2,1,563
143,11,2,2,676
144,11,2,5,632
145,11,3,1,100
146,11,3,3,851
147,11,3,4,661
148,11,3,5,728
149,11,4,3,344
150,11,4,5,318
151,11,4,2,72
152,11,5,4,249
153,11,5,2,918
154,11,6,1,481
155,11,6,5,65
156,12,2,4,482
157,12,2,3,892
158,12,2,1,848
159,12,2,5,266
160,12,3,1,347
161,12,3,3,508
162,13,2,2,636
163,13,2,1,824
164,13,2,4,385
165,13,3,1,618
166,13,3,3,857
167,13,3,4,902
168,13,3,5,281
169,13,4,1,646
170,13,4,4,29
171,13,4,2,753
172,13,5,4,913
173,13,5,5,512
174,13,5,2,240
175,13,6,3,128
176,13,6,5,447
177,13,6,1,340
178,14,3,3,871
179,14,3,2,30
180,14,3,5,363
181,14,4,1,679
182,14,4,3,168
183,14,4,5,444
184,14,5,1,394
185,14,5,4,942
186,14,5,5,121
187,14,5,2,588
188,14,6,4,405
189,14,6,2,778
190,15,1,2,77
191,15,1,5,577
192,15,1,4,914
193,15,1,3,435
194,15,2,2,471
195,15,2,1,674
196,15,2,3,212
197,15,2,5,502
198,16,3,3,493
199,16,3,5,294
200,16,4,5,302
201,16,4,3,537
202,17,2,2,536
203,17,2,3,575
204,17,2,5,809
205,17,2,4,904
206,17,3,5,75
207,17,3,4,589
208,17,3,3,589
209,17,3,2,320
210,17,4,1,205
211,17,4,2,645
212,17,5,2,178
213,17,5,4,388
214,17,6,4,117
215,17,6,3,696
216,18,3,3,231
217,18,3,5,484
218,18,3,2,894
219,18,3,1,29
220,18,4,4,237
221,18,4,1,995
222,18,4,3,747
223,18,5,2,590
224,18,5,1,881
225,18,6,5,983
226,18,6,2,212
